CH,21447.264,3764732.104,2.737
CH,21447.359,3764734.920,1.470
CH,21447.292,3764734.894,1.307
CH,21447.188,3764732.051,2.584
CH,21442.743,3764705.892,1.815
CH,21443.148,3764705.899,1.820
CH,21443.500,3764711.054,3.753
CH,21443.528,3764711.181,3.789
CH,21443.124,3764705.887,1.664
CH,21442.833,3764705.889,1.663
CH,20961.316,3764709.807,3.174
CH,20962.505,3764709.906,3.183
CH,20999.287,3764726.805,3.047
CH,21000.057,3764726.523,3.122
CH,21002.421,3764726.559,3.190
CH,21012.443,3764726.606,3.171
CH,21022.357,3764726.675,3.167
CH,21032.383,3764726.721,3.189
CH,21042.377,3764726.787,3.157
CH,21047.834,3764726.756,3.174
CH,21048.486,3764726.970,3.122
CH,21049.066,3764727.776,2.856
CH,20998.787,3764727.465,2.621
CH,20999.118,3764726.636,2.913
CH,21000.034,3764726.238,3.045
CH,21002.422,3764726.237,3.068
CH,21012.444,3764726.297,3.116
CH,21022.359,3764726.319,3.134
CH,21032.384,3764726.299,3.122
CH,21042.379,3764726.429,3.088
CH,21047.907,3764726.479,3.064
CH,21048.700,3764726.793,2.974
CH,21049.135,3764727.778,2.676
CH,21452.509,3764712.283,4.088
CH,21452.519,3764712.283,4.088
CH,21199.466,3764728.897,2.921
CH,21199.528,3764728.846,3.146
CH,20990.325,3764707.970,2.746
CH,20990.732,3764708.337,2.651
CH,20990.910,3764708.325,2.802
CH,20990.920,3764708.501,2.850
CH,20990.915,3764708.677,2.900
CH,20990.905,3764708.853,2.951
CH,21041.725,3764708.578,2.713
CH,21041.886,3764708.517,2.904
CH,21041.912,3764708.690,2.949
CH,21041.908,3764708.868,2.992
CH,21041.894,3764709.048,3.033
CH,21092.611,3764708.494,2.721
CH,21092.472,3764708.523,2.913
CH,21093.015,3764708.710,2.778
CH,21093.132,3764708.677,2.951
CH,21093.143,3764708.852,2.987
CH,21093.138,3764709.027,3.024
CH,21093.124,3764709.202,3.064
CH,21195.096,3764709.859,3.389
CH,21194.420,3764709.861,3.401
CH,21244.862,3764709.922,3.132
CH,21244.738,3764709.940,3.319
CH,21245.165,3764709.959,3.104
CH,21245.386,3764709.665,3.305
CH,21245.410,3764709.772,3.353
CH,21245.416,3764709.886,3.392
CH,21245.411,3764710.005,3.425
CH,21446.801,3764730.489,3.522
CH,21446.643,3764729.572,3.846
CH,21249.058,3764728.499,3.301
CH,21249.190,3764728.503,3.492
CH,21049.477,3764728.053,2.613
CH,21049.476,3764728.158,2.601
CH,21049.475,3764728.263,2.582
CH,21049.474,3764728.471,2.534
CH,21049.473,3764728.679,2.490
CH,21049.473,3764728.784,2.475
CH,21049.472,3764728.837,2.471
CH,20998.491,3764729.085,2.281
CH,20998.486,3764729.047,2.285
CH,20998.477,3764728.972,2.298
CH,20998.459,3764728.825,2.345
CH,20998.423,3764728.539,2.489
CH,20998.387,3764728.253,2.635
CH,20998.369,3764728.106,2.685
CH,20998.359,3764728.031,2.699
CH,20998.355,3764727.993,2.704
CH,20998.566,3764728.046,2.499
CH,20998.787,3764727.918,2.483
CH,20998.965,3764727.904,2.603
CH,20998.350,3764727.955,2.706
CH,20955.108,3764728.135,2.442
CH,20955.218,3764728.205,2.594
CH,20954.709,3764727.948,2.710
CH,21463.286,3764713.722,4.102
CH,21463.389,3764712.958,4.091
CH,21463.497,3764712.360,4.065
CH,20960.526,3764709.886,3.178
CH,20961.577,3764710.566,3.181
CH,21446.905,3764730.477,3.336
CH,21446.786,3764729.519,3.639
CH,20954.865,3764729.207,2.327
CH,20954.930,3764729.232,2.136
CH,20955.151,3764729.253,2.167
CH,20955.233,3764729.289,2.318
CH,20990.786,3764707.244,2.513
CH,20990.692,3764707.196,2.360
CH,20990.547,3764707.203,2.366
CH,20990.406,3764707.180,2.552
CH,20998.933,3764729.107,2.301
CH,20998.818,3764729.091,2.167
CH,20998.649,3764729.107,2.163
CH,20998.496,3764729.124,2.280
CH,21041.362,3764709.237,2.862
CH,21041.229,3764709.240,3.046
CH,21041.311,3764707.646,2.655
CH,21041.402,3764707.676,2.494
CH,21041.631,3764707.592,2.650
CH,21049.160,3764728.907,2.605
CH,21049.286,3764728.901,2.473
CH,21049.472,3764728.890,2.470
CH,21049.615,3764728.894,2.576
CH,21149.975,3764728.692,3.026
CH,21194.565,3764708.977,3.117
CH,21194.670,3764709.018,2.950
CH,21194.972,3764709.030,2.940
CH,21195.090,3764708.974,3.156
CH,21199.050,3764729.696,2.815
CH,21199.213,3764729.624,2.648
CH,21199.431,3764729.557,2.663
CH,21199.538,3764729.658,2.827
CH,21244.806,3764709.083,3.053
CH,21244.862,3764709.145,2.834
CH,21245.105,3764709.214,2.870
CH,21245.217,3764709.180,3.055
CH,21248.469,3764728.772,3.433
CH,21248.574,3764728.890,3.330
CH,21248.916,3764728.918,3.135
CH,21249.109,3764728.962,3.347
CH,21393.887,3764710.911,3.582
CH,21393.888,3764710.911,3.583
CH,21092.697,3764707.496,2.722
CH,21092.715,3764707.466,2.541
CH,21092.957,3764707.470,2.500
CH,21092.982,3764707.436,2.706
CH,21441.871,3764713.467,4.089
CH,21409.284,3764713.360,4.121
CH,21419.646,3764713.422,4.115
CH,21430.443,3764713.432,4.104
CH,21149.721,3764728.554,2.877
CH,21149.822,3764728.003,3.028
CH,21149.967,3764727.486,3.206
CH,21150.212,3764727.146,3.302
CH,21150.440,3764727.000,3.333
CH,21152.394,3764726.905,3.339
CH,21162.274,3764727.023,3.375
CH,21172.439,3764727.047,3.519
CH,21182.442,3764727.080,3.524
CH,21192.389,3764727.105,3.495
CH,21198.267,3764727.140,3.479
CH,21198.916,3764727.553,3.380
CH,21199.127,3764728.673,2.990
CH,21100.300,3764727.554,2.897
CH,21100.749,3764726.932,3.115
CH,21101.361,3764726.731,3.177
CH,21102.402,3764726.737,3.210
CH,21112.404,3764726.812,3.264
CH,21122.403,3764726.832,3.339
CH,21127.394,3764726.965,3.361
CH,21129.889,3764727.050,3.367
CH,21132.384,3764727.089,3.372
CH,21142.431,3764726.884,3.372
CH,21148.725,3764727.043,3.323
CH,21149.303,3764727.452,3.214
CH,21149.501,3764727.991,3.028
CH,21149.470,3764728.514,2.878
CH,21148.662,3764727.369,3.440
CH,21149.080,3764727.619,3.350
CH,21149.291,3764728.440,3.104
CH,21150.013,3764728.147,3.210
CH,21150.218,3764727.634,3.369
CH,21150.490,3764727.395,3.434
CH,21199.022,3764728.673,3.214
CH,21198.698,3764727.711,3.518
CH,21198.213,3764727.455,3.589
CH,21200.435,3764727.454,3.609
CH,21199.853,3764727.782,3.493
CH,21199.542,3764728.677,3.210
CH,21199.486,3764728.676,3.010
CH,21199.656,3764727.673,3.348
CH,21200.423,3764727.148,3.456
CH,21202.419,3764727.108,3.481
CH,21212.429,3764727.187,3.566
CH,21222.412,3764727.272,3.655
CH,21232.402,3764727.280,3.631
CH,21242.412,3764727.314,3.609
CH,21247.708,3764727.341,3.599
CH,21248.353,3764727.699,3.537
CH,21248.545,3764728.487,3.395
CH,20954.703,3764727.902,2.724
CH,20954.675,3764727.314,2.878
CH,20954.245,3764726.561,3.130
CH,20953.829,3764726.367,3.185
CH,20952.401,3764726.335,3.205
CH,20945.028,3764726.318,3.168
CH,20944.229,3764726.290,3.173
CH,20943.581,3764726.189,3.168
CH,20943.590,3764725.900,3.133
CH,20944.239,3764725.966,3.130
CH,20945.038,3764725.993,3.127
CH,20952.403,3764726.008,3.085
CH,20953.946,3764726.013,3.063
CH,20954.416,3764726.379,3.007
CH,20954.785,3764727.319,2.691
CH,20954.794,3764727.893,2.514
CH,20956.790,3764726.324,3.189
CH,20955.934,3764726.338,3.200
CH,20955.496,3764726.624,3.082
CH,20955.162,3764727.335,2.869
CH,20955.227,3764727.851,2.708
CH,20955.102,3764727.863,2.513
CH,20955.046,3764727.330,2.682
CH,20955.381,3764726.489,2.972
CH,20955.790,3764726.112,3.058
CH,20956.780,3764726.040,3.071
CH,20962.476,3764726.114,3.116
CH,20972.478,3764726.189,3.175
CH,20982.450,3764726.190,3.144
CH,20992.404,3764726.179,3.096
CH,20997.400,3764726.280,3.062
CH,20998.248,3764726.626,2.943
CH,20998.462,3764727.425,2.651
CH,20998.557,3764727.937,2.534
CH,20990.218,3764709.036,2.991
CH,20989.817,3764709.798,3.177
CH,20989.128,3764710.019,3.215
CH,20982.489,3764709.984,3.209
CH,20972.479,3764709.875,3.215
CH,20960.521,3764709.766,3.152
CH,20961.696,3764710.169,3.194
CH,20962.503,3764710.200,3.204
CH,20972.479,3764710.129,3.178
CH,20982.489,3764710.322,3.123
CH,20989.126,3764710.348,3.086
CH,20990.103,3764709.989,3.018
CH,20990.337,3764709.035,2.819
CH,20990.900,3764709.029,3.001
CH,20991.360,3764709.773,3.156
CH,20991.829,3764710.045,3.211
CH,20992.507,3764710.066,3.228
CH,21002.499,3764710.120,3.212
CH,21012.491,3764710.177,3.262
CH,21022.486,3764710.218,3.219
CH,21032.472,3764710.242,3.247
CH,21040.475,3764710.210,3.252
CH,21040.920,3764710.035,3.204
CH,21041.218,3764709.454,3.098
CH,20990.756,3764709.031,2.830
CH,20991.016,3764709.935,3.001
CH,20991.768,3764710.403,3.083
CH,20992.505,3764710.421,3.098
CH,21002.498,3764710.460,3.139
CH,21012.490,3764710.443,3.233
CH,21022.483,3764710.503,3.197
CH,21032.471,3764710.629,3.148
CH,21040.525,3764710.557,3.118
CH,21041.151,3764710.164,3.037
CH,21041.355,3764709.509,2.926
CH,20962.476,3764726.375,3.179
CH,20972.478,3764726.437,3.182
CH,20982.449,3764726.472,3.215
CH,20992.402,3764726.496,3.199
CH,20997.311,3764726.559,3.170
CH,20998.010,3764726.827,3.108
CH,20998.336,3764727.409,2.866
CH,20998.348,3764727.939,2.706
CH,21041.887,3764709.228,3.073
CH,21042.154,3764709.887,3.192
CH,21042.528,3764710.290,3.226
CH,21043.301,3764710.314,3.234
CH,21052.464,3764710.325,3.282
CH,21062.476,3764710.291,3.320
CH,21072.470,3764710.393,3.305
CH,21082.456,3764710.501,3.296
CH,21041.740,3764709.231,2.855
CH,21041.939,3764709.957,3.019
CH,21042.465,3764710.483,3.109
CH,21043.222,3764710.626,3.121
CH,21052.462,3764710.665,3.188
CH,21062.474,3764710.711,3.263
CH,21072.468,3764710.708,3.276
CH,21082.455,3764710.839,3.229
CH,21091.105,3764710.844,3.210
CH,21091.929,3764710.734,3.211
CH,21092.314,3764710.393,3.158
CH,21092.553,3764709.409,2.931
CH,21049.477,3764727.978,2.616
CH,21049.795,3764726.904,2.964
CH,21050.569,3764726.455,3.062
CH,21052.405,3764726.459,3.077
CH,21062.373,3764726.527,3.120
CH,21072.388,3764726.718,3.207
CH,21082.425,3764726.661,3.205
CH,21092.409,3764726.686,3.169
CH,21098.725,3764726.697,3.152
CH,21099.516,3764726.991,3.061
CH,21099.870,3764727.577,2.901
CH,21049.679,3764728.050,2.808
