201478,-3762881.544,-44377.121,195.593,kT
201473,-3762873.424,-44376.522,195.675,kT
201479,-3762880.583,-44376.25,195.6,kT
201480,-3762882.84,-44375.126,195.555,kT
201475,-3762876.463,-44374.648,195.588,kT
201481,-3762878.053,-44373.622,195.539,kT
201483,-3762884.077,-44373.44,195.515,kT
201482,-3762880.403,-44371.992,195.464,kT
201511,-3762853.573,-44371.015,195.686,kT
201512,-3762849.575,-44370.942,195.567,kT
201484,-3762882.856,-44370.162,195.398,kT
201335,-3762897.193,-44370.03,195.05,kT
201513,-3762845.587,-44369.677,195.441,kT
201509,-3762864.295,-44368.824,195.513,kT
201510,-3762868.16,-44367.794,195.449,kT
201514,-3762842.743,-44367.765,195.27,kT
201485,-3762885.982,-44367.677,195.293,kT
201487,-3762888.281,-44367.607,195.313,kT
201508,-3762869.852,-44367.301,195.423,kT
201486,-3762886.781,-44367.114,195.268,kT
201507,-3762874.559,-44365.241,195.324,kT
201488,-3762890.855,-44364.81,195.251,kT
201334,-3762903.476,-44363.817,194.824,kT
201506,-3762877.185,-44363.728,195.277,kT
201489,-3762890.574,-44363.664,195.172,kT
201515,-3762839.693,-44361.962,194.914,kT
201505,-3762880.542,-44361.528,195.204,kT
201504,-3762881.079,-44360.801,195.126,kT
201503,-3762885.048,-44357.271,194.993,kT
201333,-3762912.172,-44357.009,194.487,kT
201491,-3762898.43,-44356.908,194.952,kT
201490,-3762899.022,-44355.663,194.857,kT
201332,-3762919.774,-44352.088,194.262,kT
201502,-3762892.409,-44349.995,194.718,kT
201493,-3762907.083,-44349.978,194.665,kT
201492,-3762905.765,-44349.343,194.618,kT
201494,-3762911.359,-44346.986,194.524,kT
200216,-3762928.748,-44346.075,193.964,kT
201496,-3762914.816,-44344.739,194.416,kT
201495,-3762910.948,-44344.522,194.423,kT
201501,-3762899.359,-44343.129,194.455,kT
200212,-3762922.695,-44339.63,194.177,kT
200217,-3762937.078,-44339.61,193.662,kT
201500,-3762906.185,-44336.436,194.198,kT
201497,-3762920.03,-44335.974,194.122,kT
200210,-3762929.236,-44334.725,193.896,kT
200219,-3762944.897,-44333.283,193.392,kT
200218,-3762943.812,-44333.081,193.408,kT
200220,-3762946.229,-44331.736,193.366,kT
200221,-3762945.187,-44331.638,193.379,kT
201499,-3762913.346,-44329.396,193.916,kT
200209,-3762927.62,-44328.71,193.844,kT
200222,-3762949.856,-44326.772,193.213,kT
200208,-3762939.468,-44324.984,193.548,kT
200214,-3762919.013,-44323.702,193.678,kT
200215,-3762919.387,-44323.343,193.66,kT
200207,-3762934.61,-44322.137,193.592,kT
200206,-3762945.418,-44318.802,193.353,kT
200223,-3762958.343,-44317.866,192.922,kT
200205,-3762942.203,-44314.992,193.328,kT
200204,-3762951.257,-44312.682,193.145,kT
200224,-3762965.464,-44310.509,192.697,kT
200203,-3762948.998,-44308.613,193.068,kT
200202,-3762956.22,-44307.64,192.947,kT
